FUNC __main__.do_stuff 23.2422 1726220405.0121 23.2422 1726220406.7399 0
CMDLINE C:\Users\Pavan.Khairnar\AppData\Local\Programs\Python\Python311\python.exe test_perf.py
MEM 1.632812 1726220404.8545
MEM 14.707031 1726220404.9558
MEM 23.242188 1726220405.0564
MEM 23.242188 1726220405.1568
MEM 23.242188 1726220405.2573
MEM 23.242188 1726220405.3576
MEM 23.242188 1726220405.4583
MEM 23.242188 1726220405.5587
MEM 23.242188 1726220405.6594
MEM 23.242188 1726220405.7598
MEM 23.242188 1726220405.8602
MEM 23.242188 1726220405.9610
MEM 23.242188 1726220406.0615
MEM 23.242188 1726220406.1630
MEM 23.242188 1726220406.2634
MEM 23.242188 1726220406.3638
MEM 23.242188 1726220406.4646
MEM 23.242188 1726220406.5653
MEM 23.242188 1726220406.6656
